time,robot_x,robot_y,obs0_x,obs0_y,obs1_x,obs1_y,obs2_x,obs2_y
0,25,100,150,50,120,80,160,90
1,26,99,150,50,120,80,160,90
2,27,98,150,50,120,80,160,90
3,28,97,150,50,120,80,160,90
4,29,96,150,50,120,80,160,90
5,30,95,150,50,120,79,160,90
6,30,94,150,50,120,79,160,90
7,31,93,150,50,120,79,160,90
8,31,92,150,50,120,79,160,90
9,32,91,150,50,120,79,160,90
10,32,90,150,50,120,79,160,90
11,33,89,149,50,120,79,160,90
12,33,88,148,50,120,79,160,90
13,34,87,147,50,120,78,160,90
14,34,86,146,50,120,78,160,90
15,35,85,145,50,120,78,160,90
16,35,84,144,50,120,78,160,90
17,35,83,143,50,120,78,160,90
18,35,82,142,50,120,78,160,90
19,35,81,141,50,120,78,160,90
20,35,80,140,50,120,78,160,90
21,35,79,139,50,120,77,160,90
22,35,78,138,50,120,77,160,90
23,35,77,137,50,120,77,160,90
24,35,76,136,50,120,77,160,90
25,35,75,135,50,120,77,160,90
26,35,74,134,50,120,77,160,90
27,35,73,133,50,120,77,160,90
28,35,72,132,50,120,77,160,90
29,35,71,131,50,120,76,160,90
30,35,70,130,50,120,76,160,90
31,35,69,129,50,120,76,160,90
32,35,68,128,50,120,76,160,90
33,36,67,127,50,120,76,160,90
34,36,66,126,50,120,76,160,90
35,37,65,125,50,120,76,160,90
36,37,64,124,50,120,76,160,90
37,38,63,123,50,120,75,160,90
38,39,62,122,50,120,75,160,90
39,40,61,121,50,120,75,160,90
40,41,60,120,50,120,75,160,90
41,42,59,119,50,120,75,160,90
42,43,58,118,50,120,75,160,90
43,44,57,117,50,120,75,160,90
44,45,56,116,50,120,75,160,90
45,46,55,115,50,120,74,160,90
46,47,54,114,50,120,74,160,90
47,48,53,113,50,120,74,160,90
48,49,52,112,50,120,74,160,90
49,50,51,111,50,120,74,160,90
50,51,50,110,50,120,74,160,90
51,52,50,109,50,120,74,160,90
52,53,49,108,50,120,74,160,90
53,54,48,107,50,120,73,160,90
54,55,48,106,50,120,73,160,90
55,56,47,105,50,120,73,160,90
56,57,47,104,50,120,73,160,90
